"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"BOM JESUS DOS PERDÕES";"62413";"3507100";"3940";"21,44";"513";"3,55";"313";"2,17"
"SP";"BOM SUCESSO DE ITARARÉ";"61786";"3507159";"740";"22,19";"47";"1,81";"30";"1,16"
"SP";"BORACÉIA";"62456";"3507308";"872";"21,86";"101";"3,24";"81";"2,60"
"SP";"BORBOREMA";"62472";"3507407";"2809";"24,34";"284";"3,25";"168";"1,93"
"SP";"BOREBI";"61026";"3507456";"480";"21,60";"42";"2,41";"24";"1,38"
"SP";"BORÁ";"62430";"3507209";"192";"18,48";"20";"2,36";"18";"2,13"
"SP";"BOTUCATU";"62499";"3507506";"20193";"18,78";"3688";"4,22";"2068";"2,37"
"SP";"BRAGANÇA PAULISTA";"62510";"3507605";"29803";"21,99";"3679";"3,48";"2624";"2,48"
"SP";"BRAÚNA";"62553";"3507704";"830";"19,43";"78";"2,27";"53";"1,54"
"SP";"BREJO ALEGRE";"62081";"3507753";"544";"21,15";"73";"3,60";"32";"1,58"
"SP";"BRODOWSKI";"62570";"3507803";"4006";"22,07";"489";"3,46";"312";"2,20"
"SP";"BROTAS";"62596";"3507902";"5070";"26,80";"464";"3,35";"335";"2,42"
"SP";"BURI";"62618";"3508009";"3952";"24,97";"263";"2,21";"302";"2,55"
